transaction_id,customer_id,merchant_id,transaction_time,amount,card_type,location,purchase_category,customer_age,is_fraudulent
1,684415,2028,11/24/2023 22:39,1262.77,Rupay,Bangalore,,28,0
2,447448,2046,3/30/2024 16:18,2222.928,MasterCard,Surat,POS,62,0
3,975001,2067,3/7/2024 18:27,7509.832,MasterCard,Hyderabad,POS,24,0
5,935741,2044,12/22/2023 18:42,,,Bangalore,Digital,19,0
6,774817,2001,3/4/2024 22:33,8526.012,Rupay,Mumbai,,23,1
8,266812,2094,9/8/2023 1:13,9396.354,,Mumbai,POS,49,0
9,401388,2035,1/9/2024 0:43,3904.2,Visa,Kolkata,Digital,37,0
11,903776,2025,2/12/2024 3:33,,Visa,Hyderabad,Digital,,0
12,620576,2042,12/17/2023 7:43,8069.63,Rupay,Hyderabad,POS,33,0
13,787150,2026,11/11/2023 7:38,,Visa,Surat,POS,42,1
14,523483,2068,1/11/2024 14:48,481.95,,,Digital,29,0
15,679113,2019,9/10/2023 23:01,11429.748,Visa,Mumbai,Digital,24,1
16,441188,2010,2/14/2024 6:29,10468.106,MasterCard,Jaipur,,56,0
18,953752,2037,9/11/2023 4:51,14761.674,MasterCard,Delhi,Digital,62,1
20,935897,2071,9/6/2023 20:03,2319.39,MasterCard,Pune,Digital,,0
21,315005,2022,9/8/2023 13:08,2159.85,Rupay,Mumbai,Digital,40,0
22,464958,2046,10/10/2023 13:28,6742.186,Rupay,Chennai,Digital,44,0
23,115377,2089,11/17/2023 6:42,4139.73,MasterCard,Surat,Digital,,
24,972563,2045,2/28/2024 13:35,10087.944,MasterCard,Jaipur,Digital,23,0
25,919876,2011,10/13/2023 8:32,10806.276,Visa,Delhi,Digital,55,0
26,491228,2089,2/11/2024 12:43,3566.54,Visa,Ahmedabad,POS,19,0
28,207435,2061,2/19/2024 22:21,7816.23,MasterCard,,Digital,37,0
29,571808,2081,12/10/2023 23:28,,MasterCard,Bangalore,Digital,42,0
30,766497,2088,2/20/2024 1:56,14823.018,MasterCard,Hyderabad,Digital,32,1
31,836156,2096,10/8/2023 21:06,4692.82,Rupay,Kolkata,Digital,66,0
32,470802,2059,3/15/2024 19:46,7361.332,MasterCard,Hyderabad,Digital,46,1
34,315537,2075,2/25/2024 0:47,9386.1,MasterCard,Jaipur,POS,54,0
35,494874,2099,2/14/2024 19:57,4545.09,MasterCard,Delhi,POS,66,
38,663473,2036,10/30/2023 0:06,,Visa,Ahmedabad,Digital,39,0
39,771430,2071,1/25/2024 5:11,14247.4695,Visa,Jaipur,Digital,67,0
41,100184,2030,12/8/2023 21:01,1002.36,Visa,Surat,Digital,22,0
42,721575,2008,11/12/2023 19:17,285.2,,Pune,Digital,56,0
43,652898,2050,1/3/2024 19:31,6437.62,,Jaipur,Digital,35,1
